aid1,aid2,PublicationId,Year
265,761,2081438702,2003
381,481,2148797410,2003
265,336,2081438702,2003
381,772,2148797410,2003
124,311,2058945027,2003
124,456,2058945027,2003
311,456,2058945027,2003
481,772,2148797410,2003
141,265,2081438702,2003
141,336,2081438702,2003
336,761,2081438702,2003
141,761,2081438702,2003
25,190,1991049437,2003
235,265,141178354,2004
265,761,141178354,2004
235,761,141178354,2004
456,590,2186970589,2004
101,222,2023216257,2004
222,782,2023216257,2004
124,456,2186970589,2004
206,298,2040889750,2004
175,209,2917471711,2004
43,175,2917471711,2004
124,590,2186970589,2004
101,782,2023216257,2004
43,209,2917471711,2004
715,726,2594096449,2004
260,383,2594096449,2004
260,715,2594096449,2004
383,726,2594096449,2004
260,726,2594096449,2004
383,715,2594096449,2004
124,600,2096582896,2005
58,124,2096582896,2005
124,816,2096582896,2005
124,797,2096582896,2005
124,590,2096582896,2005
231,327,2096582896,2005
231,456,2096582896,2005
231,590,2096582896,2005
231,600,2096582896,2005
231,707,2096582896,2005
58,231,2096582896,2005
231,816,2096582896,2005
124,456,2096582896,2005
124,707,2096582896,2005
124,817,2096582896,2005
327,797,2096582896,2005
231,797,2096582896,2005
58,590,2096582896,2005
590,707,2096582896,2005
590,600,2096582896,2005
456,817,2096582896,2005
456,797,2096582896,2005
456,816,2096582896,2005
58,456,2096582896,2005
456,707,2096582896,2005
124,327,2096582896,2005
456,600,2096582896,2005
327,817,2096582896,2005
327,816,2096582896,2005
58,327,2096582896,2005
327,707,2096582896,2005
327,600,2096582896,2005
327,590,2096582896,2005
327,456,2096582896,2005
231,817,2096582896,2005
456,590,2096582896,2005
124,231,2096582896,2005
213,440,2736076540,2005
206,440,2736076540,2005
835,877,2492841122,2005
456,590,2086672633,2005
353,590,2086672633,2005
353,456,2086672633,2005
231,590,2086672633,2005
231,456,2086672633,2005
231,353,2086672633,2005
124,590,2086672633,2005
124,456,2086672633,2005
124,353,2086672633,2005
124,231,2086672633,2005
876,877,2492841122,2005
383,440,2594912664,2005
77,774,1583971066,2005
120,774,1583971066,2005
77,120,1583971066,2005
204,625,2614891545,2005
835,876,2492841122,2005
590,816,2096582896,2005
63,877,2492841122,2005
63,835,2492841122,2005
206,213,2736076540,2005
936,937,2735386739,2005
935,937,2735386739,2005
935,936,2735386739,2005
440,982,2594912664,2005
440,726,2594912664,2005
766,814,2686377191,2005
210,814,2686377191,2005
210,766,2686377191,2005
91,866,2613134743,2005
122,814,2686377191,2005
122,766,2686377191,2005
122,210,2686377191,2005
440,714,2594912664,2005
383,982,2594912664,2005
383,726,2594912664,2005
383,714,2594912664,2005
63,876,2492841122,2005
590,817,2096582896,2005
590,797,2096582896,2005
438,784,96392772,2005
148,554,2014704677,2005
93,554,2014704677,2005
93,148,2014704677,2005
456,590,1989859713,2005
124,590,1989859713,2005
124,456,1989859713,2005
25,190,1987534390,2005
714,726,2594912664,2005
661,752,2244732202,2005
209,752,2244732202,2005
714,982,2594912664,2005
726,982,2594912664,2005
600,707,2096582896,2005
209,661,2244732202,2005
816,817,2096582896,2005
797,817,2096582896,2005
797,816,2096582896,2005
58,600,2096582896,2005
600,816,2096582896,2005
58,817,2096582896,2005
58,797,2096582896,2005
58,816,2096582896,2005
707,817,2096582896,2005
707,797,2096582896,2005
600,797,2096582896,2005
707,816,2096582896,2005
58,707,2096582896,2005
600,817,2096582896,2005
221,529,1981723444,2006
584,794,2587216311,2006
546,584,2587216311,2006
181,584,2587216311,2006
288,316,2071818443,2006
584,708,2587216311,2006
99,221,1981723444,2006
242,651,2587216311,2006
99,529,1981723444,2006
590,657,2186451362,2006
651,708,2587216311,2006
712,717,2594058811,2006
546,651,2587216311,2006
546,794,2587216311,2006
608,716,2592565443,2006
47,213,2594058811,2006
708,794,2587216311,2006
490,735,2614886817,2006
546,708,2587216311,2006
124,281,2186451362,2006
124,456,2186451362,2006
124,590,2186451362,2006
124,657,2186451362,2006
281,456,2186451362,2006
281,590,2186451362,2006
281,657,2186451362,2006
456,590,2186451362,2006
456,657,2186451362,2006
181,708,2587216311,2006
242,794,2587216311,2006
2,316,1966733052,2006
181,242,2587216311,2006
242,708,2587216311,2006
651,794,2587216311,2006
181,651,2587216311,2006
242,546,2587216311,2006
621,854,2041641604,2006
647,854,2041641604,2006
226,854,2041641604,2006
226,647,2041641604,2006
226,621,2041641604,2006
261,625,2611567586,2006
204,261,2611567586,2006
204,625,2611567586,2006
96,261,2611567586,2006
96,625,2611567586,2006
96,204,2611567586,2006
378,621,2041641604,2006
213,717,2594058811,2006
600,694,2038326973,2006
440,717,2594058811,2006
84,226,2041641604,2006
84,378,2041641604,2006
84,621,2041641604,2006
84,647,2041641604,2006
84,854,2041641604,2006
181,794,2587216311,2006
226,378,2041641604,2006
440,712,2594058811,2006
242,584,2587216311,2006
378,647,2041641604,2006
669,825,2018148378,2006
584,651,2587216311,2006
47,440,2594058811,2006
47,712,2594058811,2006
47,717,2594058811,2006
213,440,2594058811,2006
621,647,2041641604,2006
378,854,2041641604,2006
99,165,2018148378,2006
99,367,2018148378,2006
213,712,2594058811,2006
99,669,2018148378,2006
165,242,2018148378,2006
165,367,2018148378,2006
165,669,2018148378,2006
165,825,2018148378,2006
242,367,2018148378,2006
242,669,2018148378,2006
242,825,2018148378,2006
367,669,2018148378,2006
367,825,2018148378,2006
99,825,2018148378,2006
181,546,2587216311,2006
99,242,2018148378,2006
121,599,2775384779,2006
204,599,2775384779,2006
204,625,2775384779,2006
599,625,2775384779,2006
657,688,2899255658,2006
657,904,2899255658,2006
688,904,2899255658,2006
124,324,2108672331,2006
600,693,253939971,2006
316,693,253939971,2006
121,204,2775384779,2006
316,600,253939971,2006
124,456,2108672331,2006
124,590,2108672331,2006
324,456,2108672331,2006
121,625,2775384779,2006
324,590,2108672331,2006
456,590,2108672331,2006
110,215,2091195422,2006
99,584,1967871120,2007
328,548,2130017810,2007
231,657,2603646149,2007
231,590,2603646149,2007
231,456,2603646149,2007
124,561,1979124584,2007
231,281,2603646149,2007
124,657,2603646149,2007
328,939,2130017810,2007
86,939,2130017810,2007
281,590,2603646149,2007
281,657,2603646149,2007
456,590,2603646149,2007
456,657,2603646149,2007
590,657,2603646149,2007
124,590,2603646149,2007
371,954,1973491230,2007
180,328,2130017810,2007
180,548,2130017810,2007
99,508,1967871120,2007
99,651,1967871120,2007
99,242,1967871120,2007
99,977,1967871120,2007
242,508,1967871120,2007
242,584,1967871120,2007
651,977,1967871120,2007
242,651,1967871120,2007
508,584,1967871120,2007
508,651,1967871120,2007
508,977,1967871120,2007
584,651,1967871120,2007
584,977,1967871120,2007
180,939,2130017810,2007
281,456,2603646149,2007
242,977,1967871120,2007
124,456,2617167596,2007
548,939,2130017810,2007
392,521,2144608052,2007
453,521,2144608052,2007
524,866,12259815,2007
390,524,12259815,2007
390,866,12259815,2007
275,524,12259815,2007
275,866,12259815,2007
275,390,12259815,2007
91,524,12259815,2007
91,866,12259815,2007
392,453,2144608052,2007
91,390,12259815,2007
57,524,12259815,2007
57,866,12259815,2007
57,390,12259815,2007
57,275,12259815,2007
57,91,12259815,2007
90,313,1992696989,2007
90,470,1992696989,2007
90,467,1992696989,2007
313,470,1992696989,2007
313,467,1992696989,2007
91,275,12259815,2007
217,521,2144608052,2007
217,453,2144608052,2007
217,392,2144608052,2007
253,384,2130502436,2007
124,456,2603646149,2007
124,281,2603646149,2007
124,231,2603646149,2007
152,253,2130502436,2007
152,384,2130502436,2007
295,564,2488023218,2007
92,564,2488023218,2007
122,814,2133592504,2007
246,295,2134267121,2007
246,564,2134267121,2007
295,564,2134267121,2007
92,295,2488023218,2007
14,44,2138917348,2007
14,248,2138917348,2007
14,351,2138917348,2007
14,372,2138917348,2007
44,248,2138917348,2007
44,351,2138917348,2007
44,372,2138917348,2007
248,351,2138917348,2007
248,372,2138917348,2007
351,372,2138917348,2007
86,548,2130017810,2007
86,328,2130017810,2007
86,180,2130017810,2007
231,456,2617167596,2007
204,310,2623248709,2007
769,807,2095075487,2007
470,807,2095075487,2007
470,769,2095075487,2007
313,807,2095075487,2007
313,769,2095075487,2007
313,470,2095075487,2007
90,807,2095075487,2007
265,761,2059694956,2007
124,615,2060470254,2007
316,828,2062168689,2007
90,769,2095075487,2007
456,590,2617167596,2007
124,231,2617167596,2007
456,657,2617167596,2007
590,657,2617167596,2007
90,470,2095075487,2007
90,313,2095075487,2007
381,783,2613774713,2007
381,836,2613774713,2007
783,836,2613774713,2007
310,625,2623248709,2007
372,479,2082591812,2007
912,916,2911537593,2007
313,470,2079038530,2007
90,313,2079038530,2007
351,479,2082591812,2007
351,372,2082591812,2007
44,479,2082591812,2007
44,372,2082591812,2007
44,351,2082591812,2007
90,470,2079038530,2007
359,916,2911537593,2007
359,912,2911537593,2007
124,590,2610887783,2007
122,483,2025918804,2007
124,657,2617167596,2007
124,590,2617167596,2007
28,128,2109120743,2007
28,196,2109120743,2007
28,942,2109120743,2007
128,196,2109120743,2007
128,942,2109120743,2007
196,942,2109120743,2007
90,542,2123168773,2007
54,86,2130017810,2007
54,180,2130017810,2007
54,328,2130017810,2007
54,548,2130017810,2007
54,939,2130017810,2007
467,470,1992696989,2007
231,590,2617167596,2007
231,657,2617167596,2007
204,625,2623248709,2007
373,934,1651457188,2007
124,456,2610887783,2007
380,488,628475466,2007
321,435,291766218,2007
111,435,291766218,2007
111,321,291766218,2007
456,590,2610887783,2007
334,513,2154642700,2008
726,982,2161749311,2008
315,982,2161749311,2008
383,726,2161749311,2008
309,513,2154642700,2008
383,982,2161749311,2008
309,334,2154642700,2008
62,513,2154642700,2008
62,334,2154642700,2008
315,726,2161749311,2008
315,383,2161749311,2008
378,473,2169616320,2008
141,265,2005121262,2008
84,473,2169616320,2008
84,378,2169616320,2008
90,125,2039839186,2008
90,313,2039839186,2008
90,470,2039839186,2008
90,769,2039839186,2008
125,313,2039839186,2008
125,470,2039839186,2008
125,769,2039839186,2008
313,470,2039839186,2008
313,769,2039839186,2008
470,769,2039839186,2008
236,610,2064606555,2008
111,321,2496731255,2008
62,309,2154642700,2008
217,762,2074155770,2008
90,313,2078483132,2008
90,769,2078483132,2008
125,313,2078483132,2008
125,470,2078483132,2008
125,769,2078483132,2008
313,470,2078483132,2008
313,769,2078483132,2008
470,769,2078483132,2008
104,215,2079846758,2008
336,761,2005121262,2008
265,761,2005121262,2008
265,336,2005121262,2008
141,761,2005121262,2008
141,336,2005121262,2008
90,125,2078483132,2008
90,470,2078483132,2008
22,484,6005923,2008
359,705,1966137604,2008
204,625,2731525691,2008
730,834,2612082277,2008
482,796,961967439,2008
705,988,1966137604,2008
591,814,2758487339,2008
122,814,2758487339,2008
122,591,2758487339,2008
20,834,2612082277,2008
484,624,6005923,2008
20,730,2612082277,2008
22,624,6005923,2008
359,988,1966137604,2008
153,648,66821092,2009
127,449,2039710316,2009
37,705,2063380934,2009
359,705,2063380934,2009
360,826,2023059180,2009
37,359,2063380934,2009
359,430,1989314239,2009
32,597,2237842677,2009
60,341,2113210612,2009
379,597,2237842677,2009
33,648,66821092,2009
33,153,66821092,2009
84,321,2127211885,2009
273,724,2020729859,2009
124,724,2020729859,2009
124,273,2020729859,2009
330,867,2186039996,2009
6,346,2617217192,2009
6,814,2617217192,2009
346,814,2617217192,2009
341,425,2113210612,2009
60,425,2113210612,2009
